question,golden_answer,llm_answer,system_answer,f1_score,error_type,relation_type
歌曲夜曲的作词人是,方文山,歌曲夜曲的作词人是方文山。,方文山,1.0,correct,作词
歌曲双截棍的作词人是,方文山,歌曲双截棍的作词人是方文山。,方文山,1.0,correct,作词
歌曲菊花台的作词人是,方文山,歌曲菊花台的作词人是方文山。,方文山,1.0,correct,作词
歌曲发如雪的作词人是,方文山,歌曲发如雪的作词人是方文山。,方文山,1.0,correct,作词
歌曲珊瑚海的作词人是,方文山,歌曲珊瑚海的作词人是方文山。,方文山,1.0,correct,作词
歌曲龙卷风的作词人是,徐若瑄,歌曲龙卷风的作词人是徐若瑄。,徐若瑄,1.0,correct,作词
谁作词的七里香,方文山,七里香是方文山作词的。,方丈山,0.0,wrong_retrieval,作词
谁作词的青花瓷,方文山,青花瓷是方文山作词的。,方文山,1.0,correct,作词
谁作词的夜曲,方文山,夜曲是方文山作词的。,方文山,1.0,correct,作词
谁作词的双截棍,方文山,双截棍是方文山作词的。,方文山,1.0,correct,作词
谁作词的菊花台,方文山,菊花台是方文山作词的。,方文山,1.0,correct,作词
谁作词的发如雪,方文山,发如雪是方文山作词的。,方文山,1.0,correct,作词
谁作词的珊瑚海,方文山,珊瑚海是方文山作词的。,方文山,1.0,correct,作词
谁作词的龙卷风,徐若瑄,龙卷风是徐若瑄作词的。,徐若瑄,1.0,correct,作词
歌曲夜曲所属的音乐专辑是,11月的萧邦,歌曲夜曲所属的音乐专辑是11月的萧邦。,11月的萧邦,1.0,pattern_mismatch,其他
歌曲发如雪所属的音乐专辑是,11月的萧邦,歌曲发如雪所属的音乐专辑是11月的萧邦。,十一月的萧邦,0.0,pattern_mismatch,其他
歌曲麦芽糖所属的音乐专辑是,11月的萧邦,歌曲麦芽糖所属的音乐专辑是11月的萧邦。,十一月的萧邦,0.0,pattern_mismatch,其他
歌曲青花瓷所属的音乐专辑是,我很忙,歌曲青花瓷所属的音乐专辑是很忙。,我很忙,1.0,pattern_mismatch,其他
歌曲牛仔很忙所属的音乐专辑是,我很忙,歌曲牛仔很忙所属的音乐专辑是很忙。,我很忙,1.0,pattern_mismatch,其他
歌曲稻香所属的音乐专辑是,魔杰座,歌曲稻香所属的音乐专辑是魔杰座。,魔杰座,1.0,pattern_mismatch,其他
歌曲兰亭序所属的音乐专辑是,魔杰座,歌曲兰亭序所属的音乐专辑是魔杰座。,魔杰座,1.0,pattern_mismatch,其他
歌曲布拉格广场所属的音乐专辑是,看我72变,歌曲布拉格广场所属的音乐专辑是看我72变。,看我72变,1.0,pattern_mismatch,其他
歌曲骑士精神所属的音乐专辑是,看我72变,歌曲骑士精神所属的音乐专辑是看我72变。,看我72变,1.0,pattern_mismatch,其他
歌曲海盗所属的音乐专辑是,城堡,歌曲海盗所属的音乐专辑是城堡。,城堡,1.0,pattern_mismatch,其他
夜曲是哪个专辑的,11月的萧邦,夜曲是11月的萧邦专辑的。,11月的萧邦,1.0,correct,其他
发如雪是哪个专辑的,11月的萧邦,发如雪是11月的萧邦专辑的。,十一月的萧邦,0.0,wrong_retrieval,其他
麦芽糖是哪个专辑的,11月的萧邦,麦芽糖是11月的萧邦专辑的。,十一月的萧邦,0.0,wrong_retrieval,其他
青花瓷是哪个专辑的,我很忙,青花瓷是我很忙专辑的。,我很忙,1.0,correct,其他
牛仔很忙是哪个专辑的,我很忙,牛仔很忙是我很忙专辑的。,我很忙,1.0,correct,其他
稻香是哪个专辑的,魔杰座,稻香是魔杰座专辑的。,魔杰座,1.0,correct,其他
兰亭序是哪个专辑的,魔杰座,兰亭序是魔杰座专辑的。,魔杰座,1.0,correct,其他
布拉格广场是哪个专辑的,看我72变,布拉格广场是看我72变专辑的。,看我72变,1.0,correct,其他
骑士精神是哪个专辑的,看我72变,骑士精神是看我72变专辑的。,看我72变,1.0,correct,其他
海盗是哪个专辑的,城堡,海盗是城堡专辑的。,城堡,1.0,correct,其他
=== SUMMARY ===,,,,0.8936,"F1=89.36%, Hits@1=89.36%, HDR=89.36%",
